Your name,Your title,Your organization,"Please check the conference timeslots where you're available on 10/09/2026. Tick all boxes that apply.

All talks and demos are 20 minutes + 5 minutes for questions from the audience. ",Works?
Christian Kjaer Laustsen,CTO and Co-founder,Yaay,"9:30 - 9:55, 10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45, 12:50 - 13:15, 13:20 - 13:45, 14:10 - 14:35, 14:40 - 15:05",OK
Tim Granlund Marsden,Tech Lead,"Enterprise AI, Novo Nordisk",13:20 - 13:45,OK
Lishuai Jing,"PhD, Co-founder ",memtrace.io,"10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45",OK
Daniel Rothmann,Technical Founder,Eigin,"10:50 - 11:15, 11:20 - 11:45, 12:50 - 13:15, 13:20 - 13:45, 14:10 - 14:35, 14:40 - 15:05",OK
Felix Wigand,Co-founder & CPO ,Virtuall,"12:50 - 13:15, 13:20 - 13:45, 14:10 - 14:35, 14:40 - 15:05",OK
Lars Buur,CTO,Dreamplan.io ApS,"9:30 - 9:55, 10:00 - 10:25, 10:50 - 11:15, 11:20 - 11:45, 12:50 - 13:15, 13:20 - 13:45",OK
